N,first,second,diff,diff_sd,field,sample_i
97,0.07216494845360824,0.14432989690721648,-0.07216494845360824,0.02640966692257631,missed_stars,1
288,0.020833333333333332,0.006944444444444444,0.013888888888888888,0.006908054092079588,missed_galaxies,1
385,0.2560078631844752,0.2582889149074571,-0.002281051722981922,0.0022476491754573977,position,1
385,0.1480851030135798,0.16235202065727863,-0.014266917643698807,0.007645133942317773,flux_r_mag,1
385,0.6538260609167578,0.7008246497278579,-0.04699858881110016,0.021138154907510528,flux_r_nmgy,1
143,21.960273285647688,21.335331734057625,0.6249415515900582,0.85026717307319,gal_angle_deg,1
204,0.19516269455206461,0.28748301262447074,-0.09232031807240611,0.012517148522767294,gal_frac_dev,1
204,0.14615384426909608,0.11533801199392496,0.030815832275171078,0.005554107031020744,gal_axis_ratio,1
204,0.6121588825059544,0.4905650233870245,0.12159385911893031,0.027553436476438087,gal_radius_px,1
309,0.5886879117748164,0.5653877608461684,0.023300150928647678,0.005695451130169807,color_ug,1
380,0.17618756196708707,0.17468163027781153,0.0015059316892756902,0.0022198475382246437,color_gr,1
385,0.12509372220929205,0.12403611312198703,0.001057609087305016,0.002153993945501876,color_ri,1
384,0.18073579060406927,0.18511372934728273,-0.004377938743213578,0.002353636925321995,color_iz,1
93,0.07526881720430108,0.13978494623655913,-0.06451612903225806,0.02561287849614257,missed_stars,2
292,0.02054794520547945,0.00684931506849315,0.0136986301369863,0.006813917854435731,missed_galaxies,2
385,0.2779737052879969,0.28032763920702075,-0.002353933919023792,0.0024840053045543423,position,2
385,0.1815902463100927,0.19556794490733134,-0.013977698597238571,0.010502231941386133,flux_r_mag,2
385,0.7766145409066896,0.7805305518731789,-0.003916010966489494,0.06368156947060642,flux_r_nmgy,2
142,19.57485881572489,18.72362043302891,0.8512383826959862,0.916238738079229,gal_angle_deg,2
207,0.2024248164835942,0.26112008235673856,-0.05869526587314427,0.012129457512406091,gal_frac_dev,2
207,0.14740692218873316,0.11350099773549437,0.03390592445323884,0.005014818105890605,gal_axis_ratio,2
207,0.8377075318284944,0.5816784280689342,0.2560291037595592,0.10715019133506247,gal_radius_px,2
321,0.6656989926728302,0.6572144393159108,0.00848455335691921,0.008767081210728082,color_ug,2
382,0.16274514063662887,0.16114570451359192,0.0015994361230370765,0.0029466255878938794,color_gr,2
385,0.10972947692927364,0.1064821443624571,0.0032473325668164947,0.002710174112595354,color_ri,2
384,0.16814690134032304,0.18124343426716447,-0.013096532926841327,0.0028324657926495607,color_iz,2
105,0.0380952380952381,0.0761904761904762,-0.0380952380952381,0.01877088348032081,missed_stars,3
280,0.02142857142857143,0.007142857142857143,0.014285714285714285,0.007104350893915323,missed_galaxies,3
385,0.26673789535389436,0.26372095351580205,0.003016941838092362,0.0016108922950138422,position,3
385,0.19610985280436477,0.1987967371231164,-0.002686884318751583,0.008491716444621798,flux_r_mag,3
385,0.8733504217799576,0.84712901674354,0.02622140503641746,0.05379159044346336,flux_r_nmgy,3
132,23.4719602352885,22.318240801256252,1.1537194340322539,1.050174250855905,gal_angle_deg,3
195,0.22987800945098488,0.2836789888862117,-0.053800979435226944,0.012867725778853797,gal_frac_dev,3
195,0.1369540034034925,0.09584404642921232,0.04110995697428021,0.005567167819188464,gal_axis_ratio,3
195,0.7959893920307849,0.6250906076903917,0.17089878434039374,0.11881096337910155,gal_radius_px,3
309,0.5993596097703009,0.5836482326922369,0.015711377078064196,0.008051938064200641,color_ug,3
382,0.15909688704263175,0.15151191183681895,0.007584975205812859,0.0030348633279473065,color_gr,3
385,0.11791492202670767,0.11870679451280107,-0.0007918724860934317,0.0014065359811442067,color_ri,3
384,0.19000948881263055,0.1967763394790938,-0.006766850666463201,0.0026875971542290288,color_iz,3
112,0.08928571428571429,0.16964285714285715,-0.08035714285714286,0.02580241493847959,missed_stars,4
273,0.02564102564102564,0.01098901098901099,0.014652014652014652,0.007285494532513119,missed_galaxies,4
385,0.25764127876423903,0.2593328938496673,-0.0016916150854282192,0.0016620892470054895,position,4
385,0.16776286388511372,0.176892498226751,-0.009129634341637289,0.006626175168845967,flux_r_mag,4
385,0.7192946233288513,0.7679599956421505,-0.04866537231329923,0.04090596520320075,flux_r_nmgy,4
130,20.680420339336447,21.09555275212866,-0.41513241279220553,0.7402553286777586,gal_angle_deg,4
192,0.21739333006735684,0.27677383441985265,-0.05938050435249584,0.012951565238165269,gal_frac_dev,4
192,0.14994116501592633,0.11614209379329622,0.03379907122263022,0.005319510517235843,gal_axis_ratio,4
192,0.7388122609970651,0.5962670849406665,0.14254517605639921,0.08921389591267022,gal_radius_px,4
307,0.6330755875632931,0.6179019593798877,0.015173628183405327,0.008099274767065004,color_ug,4
381,0.18589261242298172,0.1880513069200284,-0.0021586944970469475,0.0023196394089437925,color_gr,4
385,0.10866862541075262,0.10876067192572816,-9.204651497555759e-5,0.0018114869600128758,color_ri,4
385,0.17135783863400247,0.17871078714527164,-0.007352948511269199,0.0022903749090693445,color_iz,4
95,0.06315789473684211,0.11578947368421053,-0.05263157894736842,0.023031314447036,missed_stars,5
290,0.02413793103448276,0.006896551724137931,0.017241379310344827,0.007657032895812107,missed_galaxies,5
385,0.2729865430875687,0.27350976212864775,-0.0005232190410789161,0.0014773253706250786,position,5
385,0.16500556141251885,0.17550519662664754,-0.010499635214128701,0.007605242428911552,flux_r_mag,5
385,0.7132246408364493,0.7263275866622073,-0.013102945825758008,0.05221577257100849,flux_r_nmgy,5
139,16.847304076413344,15.668336786442435,1.1789672899709083,0.6607672235554047,gal_angle_deg,5
202,0.22100690422103125,0.2808504731631161,-0.05984356894208478,0.012026738813573107,gal_frac_dev,5
202,0.14528398196968784,0.1187631588277237,0.026520823141964044,0.005803258683951959,gal_axis_ratio,5
202,0.725101503533336,0.5802795743686706,0.14482192916466557,0.08486126130870941,gal_radius_px,5
312,0.5913610083921003,0.5686362601792068,0.022724748212892908,0.0071218885335304575,color_ug,5
377,0.1564895798321875,0.15770661101900738,-0.0012170311868197772,0.002261406798644896,color_gr,5
