N,first,second,diff,diff_sd,field,sample_i
144,0.1597222222222222,0.1388888888888889,0.020833333333333332,0.026983346503309354,missed_stars,1
330,0.045454545454545456,0.012121212121212121,0.03333333333333333,0.012842367870008154,missed_galaxies,1
474,0.1428115437728763,0.11903851551007273,0.02377302826280355,0.0042270436883758465,position,1
474,0.1385752258698236,0.10627289544229866,0.03230233042752492,0.0067201309708034285,flux_r_mag,1
474,0.3105645762095514,0.23383647943649882,0.07672809677305258,0.01387994639492895,flux_r_nmgy,1
126,7.644690403801898,8.883351512367042,-1.2386611085651396,0.622441760826369,gal_angle_deg,1
160,0.2247440359542225,0.1604418493740648,0.06430218658015775,0.013845238327111604,gal_frac_dev,1
160,0.11628899727689639,0.07246675363743134,0.0438222436394649,0.008374983885287063,gal_axis_ratio,1
160,0.8341186494055162,0.5517635268391986,0.2823551225663172,0.05557001392680496,gal_radius_px,1
474,0.4118270451277273,0.3810668215721807,0.030760223555546622,0.011612915349878634,color_ug,1
474,0.14647080733718537,0.14565253833958428,0.0008182689976011235,0.002969122232320977,color_gr,1
474,0.09955989477094414,0.09946984769407377,9.004707687033105e-5,0.004595270179575707,color_ri,1
474,0.12706832540210922,0.14296740514391668,-0.015899079741807483,0.005335546954660094,color_iz,1
125,0.12,0.112,0.008,0.027413206141707374,missed_stars,2
349,0.07163323782234957,0.011461318051575931,0.06017191977077364,0.013823800592464413,missed_galaxies,2
474,0.14695042309153727,0.13094784214679442,0.01600258094474286,0.003385834040575649,position,2
474,0.12817616696871445,0.11031297638725437,0.017863190581460072,0.005943581346132281,flux_r_mag,2
474,0.262570724959248,0.2141054343991559,0.04846529056009209,0.012176530537614787,flux_r_nmgy,2
137,10.579945632950698,11.33380285046799,-0.7538572175172953,0.6466015337843332,gal_angle_deg,2
174,0.25806583502047886,0.17405806954117423,0.08400776547930462,0.011769756040352086,gal_frac_dev,2
174,0.1223535339650224,0.08522132234444457,0.0371322116205778,0.00727956202277065,gal_axis_ratio,2
174,0.6909928517171283,0.3776164288699427,0.31337642284718525,0.060551825412297984,gal_radius_px,2
474,0.44140594411322664,0.43213235549945334,0.009273588613773196,0.009952860371421351,color_ug,2
474,0.16046773054281654,0.1619428858375233,-0.001475155294706804,0.0039037429846293,color_gr,2
474,0.12628329591041007,0.12547047830386127,0.0008128176065488966,0.0047228026358647045,color_ri,2
474,0.15506158991844954,0.167261361340152,-0.012199771421702478,0.005074368109041821,color_iz,2
138,0.11594202898550725,0.06521739130434782,0.050724637681159424,0.028078750371765597,missed_stars,3
336,0.06845238095238096,0.005952380952380952,0.0625,0.013796674106500734,missed_galaxies,3
474,0.13805070239962489,0.12283516932596307,0.015215533073661854,0.003486749941947663,position,3
474,0.13490576754358866,0.1103851356863574,0.02452063185723126,0.005494056382622956,flux_r_mag,3
474,0.29608731450184034,0.2337544659989139,0.06233284850292647,0.014594951751780204,flux_r_nmgy,3
126,10.962372794783528,12.534726366110407,-1.5723535713268824,0.6189986836041899,gal_angle_deg,3
155,0.2520785033801657,0.17904887684676746,0.07302962653339819,0.012716673900198868,gal_frac_dev,3
155,0.1446463335907412,0.09378830767286861,0.05085802591787252,0.009474352136531607,gal_axis_ratio,3
155,0.5969150186341182,0.3882591466151999,0.2086558720189187,0.048798807230920165,gal_radius_px,3
474,0.41421800956753013,0.4036772018870734,0.01054080768045688,0.008936427925802166,color_ug,3
474,0.1530168311292122,0.1507141398131507,0.0023026913160615475,0.0028732313614427837,color_gr,3
474,0.14330942132151755,0.14632072286138956,-0.003011301539871978,0.005536250539797793,color_ri,3
474,0.20330432057158992,0.21276361001166388,-0.00945928944007394,0.0068717124343223145,color_iz,3
141,0.15602836879432624,0.1347517730496454,0.02127659574468085,0.028858488811739587,missed_stars,4
333,0.03903903903903904,0.012012012012012012,0.02702702702702703,0.01063000307012777,missed_galaxies,4
474,0.13829628078457398,0.12036807399600884,0.01792820678856516,0.00343519920793494,position,4
474,0.1382079798953798,0.10341339844828316,0.03479458144709665,0.006184320124527954,flux_r_mag,4
474,0.3258937464087483,0.22876639781113525,0.09712734859761306,0.016404076252769625,flux_r_nmgy,4
122,9.441266973256827,10.06064250722775,-0.6193755339709122,0.8825742711028526,gal_angle_deg,4
152,0.22920116249734251,0.14317949637241106,0.08602166612493137,0.01337375843345139,gal_frac_dev,4
152,0.11408873289917726,0.0716160560200997,0.04247267687907757,0.008170590682466419,gal_axis_ratio,4
152,0.7820220781178192,0.4415143876174443,0.34050769050037477,0.07079233120076922,gal_radius_px,4
474,0.40669468310702594,0.39092093162437846,0.015773751482647154,0.009267755351577587,color_ug,4
474,0.13989363753971226,0.14023530172690946,-0.00034166418719714146,0.0027705894014969207,color_gr,4
474,0.11814785553386065,0.12126099304402166,-0.003113137510161018,0.0044824395593052865,color_ri,4
474,0.17183206720603475,0.17976183125558243,-0.007929764049547719,0.00442147049283659,color_iz,4
118,0.13559322033898305,0.11016949152542373,0.025423728813559324,0.026879011508669955,missed_stars,5
356,0.06460674157303371,0.0028089887640449437,0.06179775280898876,0.01277969235856528,missed_galaxies,5
474,0.13344682936988067,0.11322636394562773,0.020220465424252945,0.003746308765492285,position,5
474,0.1433707393952042,0.11771906827570447,0.025651671119499758,0.006555748690066709,flux_r_mag,5
474,0.30386200888809917,0.254960424845043,0.048901584043056154,0.011830707992571013,flux_r_nmgy,5
133,11.024382509004361,11.72741408832317,-0.7030315793188121,0.4338573518332485,gal_angle_deg,5
167,0.24568631575616967,0.17977547237530678,0.06591084338086302,0.013344749776241291,gal_frac_dev,5
167,0.13088898838248575,0.08357078030125667,0.04731820808122903,0.008672664843638284,gal_axis_ratio,5
167,0.7976702230115225,0.5634471983823705,0.23422302462915204,0.055332157560810134,gal_radius_px,5
474,0.40893671429166334,0.3991368155831608,0.009799898708502622,0.010599933375930192,color_ug,5
474,0.13184711668504856,0.13381677821482235,-0.001969661529773754,0.003051346246828092,color_gr,5
474,0.10608156349765195,0.12198519930189274,-0.01590363580424074,0.004758971613447281,color_ri,5
474,0.14716839919282154,0.16273073731350254,-0.01556233812068102,0.0050469974673343285,color_iz,5
138,0.13043478260869565,0.10144927536231885,0.028985507246376812,0.027352721064580112,missed_stars,6
336,0.044642857142857144,0.005952380952380952,0.03869047619047619,0.011283308561167117,missed_galaxies,6
474,0.1320243854899111,0.11465444145769081,0.017369944032220273,0.0033201667706424906,position,6
474,0.1360604548869517,0.11865870077047813,0.017401754116473562,0.005300066401562181,flux_r_mag,6
474,0.2835911546583364,0.24511033185609257,0.038480822802243776,0.012621526480028905,flux_r_nmgy,6
124,8.832124986942665,10.411815884758512,-1.579690897815846,0.42263854816595015,gal_angle_deg,6
154,0.21846506892687653,0.1620262494648854,0.05643881946199117,0.012735477288987336,gal_frac_dev,6
154,0.12884767974101452,0.0815706534063306,0.047277026334683815,0.00938503581601114,gal_axis_ratio,6
154,0.8370178990305739,0.6354100246045294,0.20160787442604405,0.04960195664677804,gal_radius_px,6
474,0.41166540619623737,0.38574125843628343,0.02592414775995364,0.01057356288088082,color_ug,6
474,0.15021092480570955,0.15446272569065767,-0.004251800884948052,0.0030988128055449995,color_gr,6
